,Gas imported Mm3,Gas consumed Mm3,Gas consumed from stocks Mm3,Total Gas Stocks Mm3,autoEstimator,Gas consumed last month Mm3,Gas imported last month Mm3,Net new gas (appx) Mm3,Net new gas (appx) last month Mm3,sinEstimator1
2018-02-01,5719.0,8978.0,2598.9761904761917,7912.999999999999,5719.0,8824.0,5347.0,6379.023809523808,6074.452380952382,6328.99258697603
2018-03-01,6399.0,8254.0,1304.4523809523807,6608.547619047618,6399.0,8978.0,5719.0,6949.547619047619,6379.023809523808,7208.637101098823
2018-04-01,5901.0,4720.0,-1469.5714285714294,8078.119047619048,5901.0,8254.0,6399.0,6189.571428571429,6949.547619047619,5101.8253634300945
2018-05-01,6240.0,4051.0,-2395.7619047619046,10473.880952380952,6240.0,4720.0,5901.0,6446.761904761905,6189.571428571429,5152.205607882544
2018-06-01,5744.0,3959.0,-2023.8333333333321,12497.714285714284,5744.0,4051.0,6240.0,5982.833333333332,6446.761904761905,5522.364519130879
2018-07-01,5932.0,4452.0,-1719.9285714285725,14217.642857142857,5932.0,3959.0,5744.0,6171.9285714285725,5982.833333333332,6308.50708916163
2018-08-01,5238.0,3962.0,-1544.8809523809523,15762.52380952381,5238.0,4452.0,5932.0,5506.880952380952,6171.9285714285725,5278.353845945587
2018-09-01,5379.0,4613.0,-1074.0476190476184,16836.571428571428,5379.000000000001,3962.0,5238.0,5687.047619047618,5506.880952380952,5366.63760790543
2018-10-01,4929.0,5022.0,-300.2619047619046,17136.833333333332,4929.000000000001,4613.0,5379.0,5322.261904761905,5687.047619047618,4799.748059311526
2018-11-01,5140.0,6898.0,1276.357142857145,15860.476190476187,5140.0,5022.0,4929.0,5621.642857142855,5322.261904761905,5277.832793256025
2018-12-01,5909.0,8934.0,2358.5714285714275,13501.90476190476,5909.0,6898.0,5140.0,6575.4285714285725,5621.642857142855,5741.984153822569
2019-01-01,6546.0,10598.0,3294.7380952380936,10207.166666666666,6546.0,8934.0,5909.0,7303.261904761906,6575.4285714285725,6580.376622669101
2019-02-01,5116.0,8064.0,2323.190476190476,7883.97619047619,5116.0,10598.0,6546.0,5740.809523809524,7303.261904761906,5684.67322581585
2019-03-01,6047.0,6992.0,480.78571428571377,7403.190476190476,6047.0,8064.0,5116.0,6511.214285714286,5740.809523809524,6106.46845297831
2019-04-01,6713.0,5536.0,-1423.3095238095239,8826.5,6712.999999999999,6992.0,6047.0,6959.309523809524,6511.214285714286,5983.835849989196
2019-05-01,6695.0,4922.0,-1973.0476190476184,10799.547619047618,6695.0,5536.0,6713.0,6895.047619047618,6959.309523809524,6259.974327819769
2019-06-01,6377.0,4327.0,-2195.2857142857138,12994.833333333332,6377.000000000001,4922.0,6695.0,6522.285714285714,6895.047619047618,6035.68357521579
2019-07-01,6554.0,4982.0,-1768.9285714285725,14763.761904761905,6554.0,4327.0,6377.0,6750.9285714285725,6522.285714285714,7059.519837871348
2019-08-01,5476.0,4174.0,-1531.2380952380954,16295.0,5476.0,4982.0,6554.0,5705.238095238095,6750.9285714285725,5560.789740781645
2019-09-01,5489.0,4766.0,-978.809523809523,17273.809523809523,5489.0,4174.0,5476.0,5744.809523809523,5705.238095238095,5544.633609208167
2019-10-01,5203.0,5219.0,-319.30952380952294,17593.119047619046,5203.0,4766.0,5489.0,5538.309523809523,5744.809523809523,4988.029693657279
2019-11-01,5333.0,6692.0,930.7142857142862,16662.40476190476,5333.0,5219.0,5203.0,5761.285714285714,5538.309523809523,5120.217027032375
2019-12-01,5363.0,8044.0,2143.5714285714257,14518.833333333334,5363.0,6692.0,5333.0,5900.428571428574,5761.285714285714,5169.970957392965
2020-01-01,5653.2,9692.0,3360.04761904762,11158.785714285714,5651.0,8044.0,5363.0,6331.95238095238,5900.428571428574,6017.8345184854625
2020-02-01,4823.6,7566.0,2191.6904761904752,8967.095238095239,4829.0,9692.0,5653.2,5374.309523809525,6331.95238095238,5333.610816781092
2020-03-01,5647.7,6692.0,636.8095238095248,8330.285714285714,5654.0,7566.0,4823.6,6055.190476190475,5374.309523809525,5844.463227593085
2020-04-01,6202.2,4268.0,-2002.9761904761908,10333.261904761905,6164.0,6692.0,5647.7,6270.976190476191,6055.190476190475,4613.2607311694155
2020-05-01,5763.8,3743.0,-2124.523809523809,12457.785714285714,5760.0,4268.0,6202.2,5867.523809523809,6270.976190476191,4760.480274081551
2020-06-01,5800.9,4094.0,-1849.6666666666679,14307.452380952382,5831.0,3743.0,5763.8,5943.666666666668,5867.523809523809,5710.674498944637
2020-07-01,5883.3,4784.0,-1268.1904761904752,15575.642857142857,5866.0,4094.0,5800.9,6052.190476190475,5943.666666666668,6778.952810994887
2020-08-01,5189.4,4110.0,-1208.3095238095211,16783.952380952378,5184.000000000001,4784.0,5883.3,5318.309523809521,6052.190476190475,5475.526074416043
2020-09-01,5349.9,4822.0,-727.5238095238092,17511.476190476187,5347.999999999999,4110.0,5189.4,5549.523809523809,5318.309523809521,5609.782472430084
2020-10-01,5222.3,5346.0,-133.35714285714494,17644.833333333332,5232.0,4822.0,5349.9,5479.357142857145,5549.523809523809,5109.409224428398
2020-11-01,4825.1,6950.0,1680.0238095238074,15964.809523809525,4816.0,5346.0,5222.3,5269.976190476193,5479.357142857145,5317.619297351316
2020-12-01,5957.1,8853.4,2422.976190476191,13541.833333333334,5892.0,6950.0,4825.1,6430.423809523809,5269.976190476193,5690.181610415573
2021-01-01,6248.6,9823.0,3061.5952380952385,10480.238095238095,6235.0,8853.4,5957.1,6761.4047619047615,6430.423809523809,6099.173387854178
2021-02-01,4915.0,7677.5,2260.6190476190477,8219.619047619048,4939.0,9823.0,6248.6,5416.880952380952,6761.4047619047615,5412.212139285862
2021-03-01,6215.8,7638.0,1075.8809523809523,7143.738095238095,6155.0,7677.5,4915.0,6562.119047619048,5416.880952380952,6670.653038307828
2021-04-01,7082.7,6161.0,-1058.642857142855,8202.38095238095,7092.0,7638.0,6215.8,7219.642857142855,6562.119047619048,6659.395352562036
2021-05-01,6697.9,4215.0,-2415.71428571429,10618.09523809524,6698.000000000001,6161.0,7082.7,6630.71428571429,7219.642857142855,5360.78662977658
2021-06-01,5797.2,4317.0,-1470.452380952378,12088.547619047618,5815.0,4215.0,6697.9,5787.452380952378,6630.71428571429,6021.734687822179
2021-07-01,5985.4,4571.0,-1465.0476190476184,13553.595238095237,5989.999999999999,4317.0,5797.2,6036.047619047618,5787.452380952378,6477.130706324755
2021-08-01,5475.1,3881.0,-1475.0238095238092,15028.619047619046,5475.0,4571.0,5985.4,5356.023809523809,6036.047619047618,5170.442018201621
2021-09-01,5239.5,4914.0,-508.0,15536.619047619046,5259.0,3881.0,5475.1,5422.0,5356.023809523809,5716.812747723235
2021-10-01,5982.2,5566.0,-342.9047619047633,15879.52380952381,6017.0,4914.0,5239.5,5908.904761904763,5422.0,5319.672978520102
2021-11-01,5921.8,7633.0,1471.3809523809523,14408.142857142857,5927.0,5566.0,5982.2,6161.619047619048,5908.904761904763,5840.19972614138
2021-12-01,7059.5,9711.0,2308.666666666666,12099.47619047619,7126.000000000001,7633.0,5921.8,7402.333333333334,6161.619047619048,6241.370955649314
2022-01-01,6581.9,10601.619803715403,1863.2377830169498,10236.238407459241,6562.431082028598,9711.0,7126.0,8738.382020698453,7402.333333333334,6582.624185581678
2022-02-01,5979.8,9087.578612201236,1329.596768731646,8906.641638727595,5874.023770632342,10601.619803715403,6581.9,7757.98184346959,8738.382020698453,6406.2394375343665
2022-03-01,6530.3,7838.824659554166,474.435248395881,8432.206390331714,6499.139858300313,9087.578612201236,5979.8,7364.389411158285,7757.98184346959,6846.043405605828
2022-04-01,7600.5,5753.438975005704,-900.2540678175028,9332.460458149217,7475.763016720795,7838.824659554166,6530.3,6653.693042823207,7364.389411158285,6218.864595260879
2022-05-01,7688.2,4720.279329722542,-2054.4609548388053,11386.921412988022,7569.3794506748245,5753.438975005704,7600.5,6774.740284561347,6653.693042823207,6003.41881840744
2022-06-01,6536.1,4605.250035283929,-2458.0061925683585,13844.92760555638,6538.206788194689,4720.279329722542,7688.2,7063.256227852287,6774.740284561347,6423.811416160192
2022-07-01,6377.8,5042.379858379129,-1976.8970768820382,15821.824682438419,6405.827529988093,4605.250035283929,6536.1,7019.276935261167,7063.256227852287,7145.078410339296
2022-08-01,6066.2,4628.2910389220315,-1075.673901177961,16897.49858361638,6103.403478033171,5042.379858379129,6377.8,5703.964940099992,7019.276935261167,6166.016609149319
2022-09-01,5627.8,5026.58839133308,-173.20292473978407,17070.701508356164,5632.513625765457,4628.2910389220315,6066.2,5199.791316072864,5703.964940099992,5847.794992497065
2022-10-01,5766.1,5695.112148296243,475.935922644876,16594.765585711288,5813.682051292301,5026.58839133308,5627.8,5219.176225651367,5199.791316072864,5443.0711830637965
2022-11-01,5781.6,7597.767483312067,1093.7419390967334,15501.023646614554,5693.423329275017,5695.112148296243,5766.1,6504.025544215334,5219.176225651367,5813.242444035768
2022-12-01,6581.9,9592.696453241479,1691.1577814125158,13809.865865202039,6574.617441000014,7597.767483312067,5781.6,7901.538671828963,6504.025544215334,6165.335910783807
2023-01-01,6769.6,10502.317334667869,2263.3293093790744,11546.536555822964,6725.480909017416,9592.696453241479,6581.9,8238.988025288794,7901.538671828963,6520.966547735507
2023-02-01,6064.0,9213.067213034774,2204.825792245836,9341.710763577128,6017.238451780499,10502.317334667869,6769.6,7008.241420788938,8238.988025288794,6494.701948608709
2023-03-01,6769.6,8040.702745431006,1308.4140443649403,8033.296719212188,6656.741258145994,9213.067213034774,6064.0,6732.288701066066,7008.241420788938,7022.35378357416
2023-04-01,7079.8,5911.8295617978965,-448.5144265440058,8481.811145756194,7272.984436220479,8040.702745431006,6769.6,6360.343988341902,6732.288701066066,6390.068220901764
2023-05-01,7713.6,4830.096325643612,-2150.464972234651,10632.276117990845,7747.898845555405,5911.8295617978965,7079.8,6980.561297878263,6360.343988341902,6143.087972252256
2023-06-01,6718.0,4647.780676752113,-2773.5970962339634,13405.873214224808,6733.4045305492455,4830.096325643612,7713.6,7421.377772986077,6980.561297878263,6483.136929021969
2023-07-01,6712.0,5187.747014136433,-2240.1125562866437,15645.985770511452,6672.8443763763535,4647.780676752113,6718.0,7427.859570423077,7421.377772986077,7351.064423957045
2023-08-01,6491.8,4801.068456405806,-1158.493372021756,16804.479142533208,6497.108289485506,5187.747014136433,6712.0,5959.5618284275615,7427.859570423077,6396.198422896928
2023-09-01,5772.3,5195.435679227186,-5.622334221487108,16810.101476754695,5816.708450060556,4801.068456405806,6491.8,5201.058013448673,5959.5618284275615,6044.22729364715
2023-10-01,5908.4,5768.25384924157,730.5312422254592,16079.570234529236,5920.407404399895,5195.435679227186,5772.3,5037.7226070161105,5201.058013448673,5512.975949524784
2023-11-01,5769.3,7362.089102756479,1369.5106497901124,14710.059584739123,5766.861826029078,5768.25384924157,5908.4,5992.578452966367,5037.7226070161105,5632.9190045521855
2023-12-01,6358.4,9238.652135376964,1861.1556091445218,12848.903975594601,6371.125704741695,7362.089102756479,5769.3,7377.496526232442,5992.578452966367,5937.787571526032
2024-01-01,,,,,,9238.652135376964,,,7377.496526232442,
