date,ratio,Gas consumed Mm3,Gas consumed from stocks Mm3,Total Gas Stocks Mm3
2012-01-01,0.8676318691366065,7979.190537213877,2199.8095238095248,9701.90476190476
2012-02-01,1.063377265313656,7021.026538307468,2178.0714285714266,7523.833333333333
2012-03-01,1.0136313674081552,5781.194414872893,-3.6428571428577925,7527.476190476191
2012-04-01,1.5356546920445762,3881.080838599747,-1270.9047619047615,8798.380952380952
2012-05-01,1.546627245055527,3486.295755643705,-1705.4285714285725,10503.809523809525
2012-06-01,1.4118112834138576,3474.260375748924,-1381.5714285714257,11885.38095238095
2012-07-01,1.4595843357501297,3563.343256439533,-1227.380952380954,13112.761904761905
2012-08-01,1.4985943636021295,3009.48682948429,-1067.7142857142826,14180.476190476187
2012-09-01,1.2334743572070632,3781.189266520808,-902.5952380952422,15083.07142857143
2012-10-01,1.0017110712881825,4608.115186411893,-284.8333333333303,15367.90476190476
2012-11-01,0.8170837652085897,6274.754460078093,452.66666666666424,14915.238095238095
2012-12-01,0.7969687828744173,8197.309782244558,1719.0238095238092,13196.214285714286
2013-01-01,0.7092361522956695,8748.848997496158,2317.7619047619064,10878.45238095238
2013-02-01,0.7313189374678738,7084.460328538391,2745.9285714285706,8132.523809523809
2013-03-01,0.9269503528650049,5791.032910671712,1758.0238095238092,6374.5
2013-04-01,1.1045250646794833,4097.68881189978,-283.92857142857156,6658.428571428572
2013-05-01,1.2723261767168907,3736.463248965935,-1569.3571428571422,8227.785714285714
2013-06-01,1.237090513521214,3688.493242917227,-1582.9761904761908,9810.761904761905
2013-07-01,1.306167826759469,3795.8368736585153,-1556.642857142855,11367.40476190476
2013-08-01,1.3696213309662435,3170.21931670471,-1654.6428571428587,13022.047619047618
2013-09-01,1.1677113623354822,3877.670583716655,-901.690476190477,13923.738095238095
2013-10-01,1.0184320172048633,4837.829051685152,-675.809523809523,14599.547619047618
2013-11-01,0.7229169114067562,6737.980427821649,881.7619047619046,13717.785714285714
2013-12-01,0.816253620410008,8463.055877816601,1062.2142857142844,12655.57142857143
2014-01-01,0.6560946745562131,8450.0,2111.857142857143,10543.714285714286
2014-02-01,0.6664751508187302,6962.0,1623.7857142857156,8919.92857142857
2014-03-01,0.7463791968400263,6076.0,868.1190476190477,8051.809523809523
2014-04-01,1.1363085132185302,4123.0,-1031.4047619047615,9083.214285714284
2014-05-01,1.403494623655914,3720.0,-1905.9047619047615,10989.119047619046
2014-06-01,1.3670286828181566,3591.0,-1707.2380952380972,12696.357142857143
2014-07-01,1.258554154875225,3887.0,-1450.5476190476165,14146.90476190476
